term_a,term_b,pmi,co_occurrence_count
community,inform,0.4111286326693939,5
community,infrastructure,0.32151647397970684,32
community,need,0.2128667477319209,46
community,objective,0.23779878706740326,17
community,offer,0.36856901825059807,20
community,older,0.14542546693638847,5
community,policy,0.011077414405309486,51
community,poor,0.5872582192154274,7
community,public,0.12673333392423577,53
community,reduced,0.3277470237303429,7
community,remains,0.5508905750445526,9
community,resident,0.47993883907226803,51
community,risk,0.42083744679635493,9
community,share,0.17932701861206976,5
community,site,0.5100685805242975,12
community,strongly,0.3277470237303429,6
community,surrounding,0.6379019520341824,6
community,targeted,0.4111286326693939,5
community,threshold,0.4057085652000549,8
community,vulnerability,0.7332121318385072,6
community,walkable,0.3739598668854745,31
community,walking,0.2230764011664542,29
community,within,0.23723301618951106,57
concentration,density,0.6276658226305607,16
concentration,develop,0.6867412574601663,5
concentration,distance,0.08180234212369668,6
concentration,facility,0.5458358043829286,6
concentration,focus,0.006839303650241661,5
concentration,higher,0.13467267516012646,5
concentration,increasingly,1.3496485528303932,6
concentration,infrastructure,0.27254246938324733,7
concentration,lower,0.7270151565981061,5
concentration,model,0.1891608604441961,14
concentration,policy,0.11505288829047418,13
concentration,population,0.9034830381406,21
concentration,public,0.02518844231843789,11
concentration,show,0.27254246938324733,9
concentration,spatial,0.23296348310258896,14
concentration,walking,0.11839178955598896,6
concentration,within,0.14994014729091468,12
consideration,critical,0.865971621684448,7
consideration,distance,0.17879460811100625,7
consideration,focus,0.4196845190560284,8
consideration,identifying,1.5317198280562787,6
consideration,infrastructure,0.2153840555432985,7
consideration,mobility,0.3365696123455218,8
consideration,need,0.28282533633883117,12
consideration,objective,0.8977203199990282,8
consideration,policy,0.20099531809119883,15
consideration,population,0.2867088363652287,12
consideration,public,0.4605065135762837,18
consideration,resident,0.26439163464999316,10
consideration,show,0.09760101988691489,8
consideration,station,1.358448106782242,6
consideration,walkable,0.29957614676364647,7
consideration,walking,0.2153840555432985,7
